DateTime,Label,Value,Units,Quality
03/04/2021 00:08:07,RS232 Disconnected,0,,G
03/04/2021 00:09:02,RS232 Connected,0,,G
03/04/2021 00:09:07,RS232 Disconnected,0,,G
03/04/2021 00:10:02,RS232 Connected,0,,G
03/04/2021 00:10:07,RS232 Disconnected,0,,G
03/04/2021 00:11:02,RS232 Connected,0,,G
03/04/2021 00:11:07,RS232 Disconnected,0,,G
03/04/2021 00:12:02,RS232 Connected,0,,G
03/04/2021 00:12:07,RS232 Disconnected,0,,G
03/04/2021 00:13:02,RS232 Connected,0,,G
03/04/2021 00:13:07,RS232 Disconnected,0,,G
03/04/2021 00:14:02,RS232 Connected,0,,G
03/04/2021 00:14:07,RS232 Disconnected,0,,G
03/04/2021 00:15:02,RS232 Connected,0,,G
03/04/2021 00:15:07,RS232 Disconnected,0,,G
03/04/2021 00:16:02,RS232 Connected,0,,G
03/04/2021 00:16:07,RS232 Disconnected,0,,G
03/04/2021 00:17:02,RS232 Connected,0,,G
03/04/2021 00:17:07,RS232 Disconnected,0,,G
03/04/2021 00:18:02,RS232 Connected,0,,G
03/04/2021 00:18:07,RS232 Disconnected,0,,G
03/04/2021 00:19:02,RS232 Connected,0,,G
03/04/2021 00:19:07,RS232 Disconnected,0,,G
03/04/2021 00:20:02,RS232 Connected,0,,G
03/04/2021 00:20:07,RS232 Disconnected,0,,G
03/04/2021 00:21:02,RS232 Connected,0,,G
03/04/2021 00:21:07,RS232 Disconnected,0,,G
03/04/2021 00:22:02,RS232 Connected,0,,G
03/04/2021 00:22:07,RS232 Disconnected,0,,G
03/04/2021 00:23:02,RS232 Connected,0,,G
03/04/2021 00:23:07,RS232 Disconnected,0,,G
03/04/2021 00:24:02,RS232 Connected,0,,G
03/04/2021 00:24:07,RS232 Disconnected,0,,G
03/04/2021 00:25:02,RS232 Connected,0,,G
03/04/2021 00:25:07,RS232 Disconnected,0,,G
03/04/2021 00:26:02,RS232 Connected,0,,G
03/04/2021 00:26:07,RS232 Disconnected,0,,G
03/04/2021 00:27:02,RS232 Connected,0,,G
03/04/2021 00:27:07,RS232 Disconnected,0,,G
03/04/2021 00:28:02,RS232 Connected,0,,G
03/04/2021 00:28:07,RS232 Disconnected,0,,G
03/04/2021 00:29:02,RS232 Connected,0,,G
03/04/2021 00:29:07,RS232 Disconnected,0,,G
03/04/2021 00:30:02,RS232 Connected,0,,G
03/04/2021 00:30:07,RS232 Disconnected,0,,G
03/04/2021 00:31:02,RS232 Connected,0,,G
03/04/2021 00:31:07,RS232 Disconnected,0,,G
03/04/2021 00:32:02,RS232 Connected,0,,G
03/04/2021 00:32:07,RS232 Disconnected,0,,G
03/04/2021 00:33:02,RS232 Connected,0,,G
03/04/2021 00:33:07,RS232 Disconnected,0,,G
03/04/2021 00:34:02,RS232 Connected,0,,G
03/04/2021 00:34:07,RS232 Disconnected,0,,G
03/04/2021 00:35:02,RS232 Connected,0,,G
03/04/2021 00:35:07,RS232 Disconnected,0,,G
03/04/2021 00:36:02,RS232 Connected,0,,G
03/04/2021 00:36:07,RS232 Disconnected,0,,G
03/04/2021 00:37:02,RS232 Connected,0,,G
03/04/2021 00:37:07,RS232 Disconnected,0,,G
03/04/2021 00:38:02,RS232 Connected,0,,G
03/04/2021 00:38:08,RS232 Disconnected,0,,G
03/04/2021 00:39:02,RS232 Connected,0,,G
03/04/2021 00:39:07,RS232 Disconnected,0,,G
03/04/2021 00:40:02,RS232 Connected,0,,G
03/04/2021 00:40:07,RS232 Disconnected,0,,G
03/04/2021 00:41:02,RS232 Connected,0,,G
03/04/2021 00:41:07,RS232 Disconnected,0,,G
03/04/2021 00:42:02,RS232 Connected,0,,G
03/04/2021 00:42:07,RS232 Disconnected,0,,G
03/04/2021 00:43:02,RS232 Connected,0,,G
03/04/2021 00:43:07,RS232 Disconnected,0,,G
03/04/2021 00:44:02,RS232 Connected,0,,G
03/04/2021 00:44:07,RS232 Disconnected,0,,G
03/04/2021 00:45:02,RS232 Connected,0,,G
03/04/2021 00:45:07,RS232 Disconnected,0,,G
03/04/2021 00:46:02,RS232 Connected,0,,G
03/04/2021 00:46:07,RS232 Disconnected,0,,G
03/04/2021 00:47:02,RS232 Connected,0,,G
03/04/2021 00:47:07,RS232 Disconnected,0,,G
03/04/2021 00:48:02,RS232 Connected,0,,G
03/04/2021 00:48:07,RS232 Disconnected,0,,G
03/04/2021 00:49:02,RS232 Connected,0,,G
03/04/2021 00:49:07,RS232 Disconnected,0,,G
03/04/2021 00:50:02,RS232 Connected,0,,G
03/04/2021 00:50:07,RS232 Disconnected,0,,G
03/04/2021 00:51:02,RS232 Connected,0,,G
03/04/2021 00:51:07,RS232 Disconnected,0,,G
03/04/2021 00:52:02,RS232 Connected,0,,G
03/04/2021 00:52:07,RS232 Disconnected,0,,G
03/04/2021 00:53:02,RS232 Connected,0,,G
03/04/2021 00:53:07,RS232 Disconnected,0,,G
03/04/2021 00:54:02,RS232 Connected,0,,G
03/04/2021 00:54:07,RS232 Disconnected,0,,G
03/04/2021 00:55:02,RS232 Connected,0,,G
03/04/2021 00:55:07,RS232 Disconnected,0,,G
03/04/2021 00:56:02,RS232 Connected,0,,G
03/04/2021 00:56:07,RS232 Disconnected,0,,G
03/04/2021 00:57:02,RS232 Connected,0,,G
03/04/2021 00:57:07,RS232 Disconnected,0,,G
03/04/2021 00:58:02,RS232 Connected,0,,G
03/04/2021 00:58:07,RS232 Disconnected,0,,G
03/04/2021 00:59:02,RS232 Connected,0,,G
03/04/2021 00:59:07,RS232 Disconnected,0,,G
03/04/2021 01:00:02,RS232 Connected,0,,G
03/04/2021 01:00:07,RS232 Disconnected,0,,G
03/04/2021 01:01:02,RS232 Connected,0,,G
03/04/2021 01:01:07,RS232 Disconnected,0,,G
03/04/2021 01:02:02,RS232 Connected,0,,G
03/04/2021 01:02:07,RS232 Disconnected,0,,G
03/04/2021 01:03:02,RS232 Connected,0,,G
03/04/2021 01:03:07,RS232 Disconnected,0,,G
03/04/2021 01:04:02,RS232 Connected,0,,G
03/04/2021 01:04:07,RS232 Disconnected,0,,G
03/04/2021 01:05:02,RS232 Connected,0,,G
03/04/2021 01:05:07,RS232 Disconnected,0,,G
03/04/2021 01:06:02,RS232 Connected,0,,G
03/04/2021 01:06:07,RS232 Disconnected,0,,G
03/04/2021 01:07:02,RS232 Connected,0,,G
03/04/2021 01:07:07,RS232 Disconnected,0,,G
03/04/2021 01:08:02,RS232 Connected,0,,G
03/04/2021 01:08:07,RS232 Disconnected,0,,G
03/04/2021 01:09:02,RS232 Connected,0,,G
03/04/2021 01:09:07,RS232 Disconnected,0,,G
03/04/2021 01:10:02,RS232 Connected,0,,G
03/04/2021 01:10:07,RS232 Disconnected,0,,G
03/04/2021 01:11:02,RS232 Connected,0,,G
03/04/2021 01:11:07,RS232 Disconnected,0,,G
03/04/2021 01:12:02,RS232 Connected,0,,G
03/04/2021 01:12:07,RS232 Disconnected,0,,G
03/04/2021 01:13:02,RS232 Connected,0,,G
03/04/2021 01:13:07,RS232 Disconnected,0,,G
03/04/2021 01:14:02,RS232 Connected,0,,G
03/04/2021 01:14:07,RS232 Disconnected,0,,G
03/04/2021 01:15:02,RS232 Connected,0,,G
03/04/2021 01:15:07,RS232 Disconnected,0,,G
03/04/2021 01:16:02,RS232 Connected,0,,G
03/04/2021 01:16:07,RS232 Disconnected,0,,G
03/04/2021 01:17:02,RS232 Connected,0,,G
03/04/2021 01:17:07,RS232 Disconnected,0,,G
03/04/2021 01:18:02,RS232 Connected,0,,G
03/04/2021 01:18:07,RS232 Disconnected,0,,G
03/04/2021 01:19:02,RS232 Connected,0,,G
03/04/2021 01:19:07,RS232 Disconnected,0,,G
03/04/2021 01:20:02,RS232 Connected,0,,G
03/04/2021 01:20:07,RS232 Disconnected,0,,G
03/04/2021 01:21:02,RS232 Connected,0,,G
03/04/2021 01:21:07,RS232 Disconnected,0,,G
03/04/2021 01:22:02,RS232 Connected,0,,G
03/04/2021 01:22:07,RS232 Disconnected,0,,G
03/04/2021 01:23:02,RS232 Connected,0,,G
03/04/2021 01:23:07,RS232 Disconnected,0,,G
03/04/2021 01:24:02,RS232 Connected,0,,G
03/04/2021 01:24:07,RS232 Disconnected,0,,G
03/04/2021 01:25:02,RS232 Connected,0,,G
03/04/2021 01:25:07,RS232 Disconnected,0,,G
03/04/2021 01:26:02,RS232 Connected,0,,G
03/04/2021 01:26:07,RS232 Disconnected,0,,G
03/04/2021 01:27:02,RS232 Connected,0,,G
03/04/2021 01:27:07,RS232 Disconnected,0,,G
03/04/2021 01:28:02,RS232 Connected,0,,G
03/04/2021 01:28:07,RS232 Disconnected,0,,G
03/04/2021 01:29:02,RS232 Connected,0,,G
03/04/2021 01:29:07,RS232 Disconnected,0,,G
03/04/2021 01:30:02,RS232 Connected,0,,G
03/04/2021 01:30:07,RS232 Disconnected,0,,G
03/04/2021 01:31:02,RS232 Connected,0,,G
03/04/2021 01:31:07,RS232 Disconnected,0,,G
03/04/2021 01:32:02,RS232 Connected,0,,G
03/04/2021 01:32:07,RS232 Disconnected,0,,G
03/04/2021 01:33:02,RS232 Connected,0,,G
03/04/2021 01:33:07,RS232 Disconnected,0,,G
03/04/2021 01:34:02,RS232 Connected,0,,G
03/04/2021 01:34:07,RS232 Disconnected,0,,G
03/04/2021 01:35:02,RS232 Connected,0,,G
03/04/2021 01:35:07,RS232 Disconnected,0,,G
03/04/2021 01:36:02,RS232 Connected,0,,G
03/04/2021 01:36:07,RS232 Disconnected,0,,G
03/04/2021 01:37:02,RS232 Connected,0,,G
03/04/2021 01:37:07,RS232 Disconnected,0,,G
03/04/2021 01:38:02,RS232 Connected,0,,G
03/04/2021 01:38:07,RS232 Disconnected,0,,G
03/04/2021 01:39:02,RS232 Connected,0,,G
03/04/2021 01:39:07,RS232 Disconnected,0,,G
03/04/2021 01:40:02,RS232 Connected,0,,G
03/04/2021 01:40:07,RS232 Disconnected,0,,G
03/04/2021 01:41:02,RS232 Connected,0,,G
03/04/2021 01:41:07,RS232 Disconnected,0,,G
03/04/2021 01:42:02,RS232 Connected,0,,G
03/04/2021 01:42:07,RS232 Disconnected,0,,G
03/04/2021 01:43:02,RS232 Connected,0,,G
03/04/2021 01:43:07,RS232 Disconnected,0,,G
03/04/2021 01:44:02,RS232 Connected,0,,G
03/04/2021 01:44:07,RS232 Disconnected,0,,G
03/04/2021 01:45:02,RS232 Connected,0,,G
03/04/2021 01:45:07,RS232 Disconnected,0,,G
03/04/2021 01:46:02,RS232 Connected,0,,G
03/04/2021 01:46:07,RS232 Disconnected,0,,G
03/04/2021 01:47:02,RS232 Connected,0,,G
03/04/2021 01:47:07,RS232 Disconnected,0,,G
03/04/2021 01:48:02,RS232 Connected,0,,G
03/04/2021 01:48:07,RS232 Disconnected,0,,G
03/04/2021 01:49:02,RS232 Connected,0,,G
03/04/2021 01:49:07,RS232 Disconnected,0,,G
03/04/2021 01:50:02,RS232 Connected,0,,G
03/04/2021 01:50:07,RS232 Disconnected,0,,G
03/04/2021 01:51:02,RS232 Connected,0,,G
03/04/2021 01:51:07,RS232 Disconnected,0,,G
03/04/2021 01:52:02,RS232 Connected,0,,G
03/04/2021 01:52:07,RS232 Disconnected,0,,G
03/04/2021 01:53:02,RS232 Connected,0,,G
03/04/2021 01:53:07,RS232 Disconnected,0,,G
03/04/2021 01:54:02,RS232 Connected,0,,G
03/04/2021 01:54:07,RS232 Disconnected,0,,G
03/04/2021 01:55:02,RS232 Connected,0,,G
03/04/2021 01:55:07,RS232 Disconnected,0,,G
03/04/2021 01:56:02,RS232 Connected,0,,G
03/04/2021 01:56:07,RS232 Disconnected,0,,G
03/04/2021 01:57:02,RS232 Connected,0,,G
03/04/2021 01:57:07,RS232 Disconnected,0,,G
03/04/2021 01:58:02,RS232 Connected,0,,G
03/04/2021 01:58:07,RS232 Disconnected,0,,G
03/04/2021 01:59:02,RS232 Connected,0,,G
03/04/2021 01:59:07,RS232 Disconnected,0,,G
03/04/2021 02:00:02,RS232 Connected,0,,G
03/04/2021 02:00:07,RS232 Disconnected,0,,G
03/04/2021 02:01:02,RS232 Connected,0,,G
03/04/2021 02:01:07,RS232 Disconnected,0,,G
03/04/2021 02:02:02,RS232 Connected,0,,G
03/04/2021 02:02:07,RS232 Disconnected,0,,G
03/04/2021 02:03:02,RS232 Connected,0,,G
03/04/2021 02:03:07,RS232 Disconnected,0,,G
03/04/2021 02:04:02,RS232 Connected,0,,G
03/04/2021 02:04:07,RS232 Disconnected,0,,G
03/04/2021 02:05:02,RS232 Connected,0,,G
03/04/2021 02:05:07,RS232 Disconnected,0,,G
03/04/2021 02:06:02,RS232 Connected,0,,G
03/04/2021 02:06:07,RS232 Disconnected,0,,G
03/04/2021 02:07:02,RS232 Connected,0,,G
03/04/2021 02:07:07,RS232 Disconnected,0,,G
03/04/2021 02:08:02,RS232 Connected,0,,G
03/04/2021 02:08:07,RS232 Disconnected,0,,G
03/04/2021 02:09:02,RS232 Connected,0,,G
03/04/2021 02:09:07,RS232 Disconnected,0,,G
03/04/2021 02:10:02,RS232 Connected,0,,G
03/04/2021 02:10:07,RS232 Disconnected,0,,G
03/04/2021 02:11:02,RS232 Connected,0,,G
03/04/2021 02:11:07,RS232 Disconnected,0,,G
03/04/2021 02:12:02,RS232 Connected,0,,G
03/04/2021 02:12:07,RS232 Disconnected,0,,G
03/04/2021 02:13:02,RS232 Connected,0,,G
03/04/2021 02:13:07,RS232 Disconnected,0,,G
03/04/2021 02:14:02,RS232 Connected,0,,G
03/04/2021 02:14:07,RS232 Disconnected,0,,G
03/04/2021 02:15:02,RS232 Connected,0,,G
03/04/2021 02:15:07,RS232 Disconnected,0,,G
03/04/2021 02:16:02,RS232 Connected,0,,G
03/04/2021 02:16:07,RS232 Disconnected,0,,G
03/04/2021 02:17:02,RS232 Connected,0,,G
03/04/2021 02:17:07,RS232 Disconnected,0,,G
03/04/2021 02:18:02,RS232 Connected,0,,G
03/04/2021 02:18:07,RS232 Disconnected,0,,G
03/04/2021 02:19:02,RS232 Connected,0,,G
03/04/2021 02:19:07,RS232 Disconnected,0,,G
03/04/2021 02:20:02,RS232 Connected,0,,G
03/04/2021 02:20:07,RS232 Disconnected,0,,G
03/04/2021 02:21:02,RS232 Connected,0,,G
03/04/2021 02:21:07,RS232 Disconnected,0,,G
03/04/2021 02:22:02,RS232 Connected,0,,G
03/04/2021 02:22:07,RS232 Disconnected,0,,G
03/04/2021 02:23:02,RS232 Connected,0,,G
03/04/2021 02:23:07,RS232 Disconnected,0,,G
03/04/2021 02:24:02,RS232 Connected,0,,G
03/04/2021 02:24:07,RS232 Disconnected,0,,G
03/04/2021 02:25:02,RS232 Connected,0,,G
03/04/2021 02:25:07,RS232 Disconnected,0,,G
03/04/2021 02:26:02,RS232 Connected,0,,G
03/04/2021 02:26:07,RS232 Disconnected,0,,G
03/04/2021 02:27:02,RS232 Connected,0,,G
03/04/2021 02:27:07,RS232 Disconnected,0,,G
03/04/2021 02:28:02,RS232 Connected,0,,G
03/04/2021 02:28:07,RS232 Disconnected,0,,G
03/04/2021 02:29:02,RS232 Connected,0,,G
03/04/2021 02:29:07,RS232 Disconnected,0,,G
03/04/2021 02:30:02,RS232 Connected,0,,G
03/04/2021 02:30:07,RS232 Disconnected,0,,G
03/04/2021 02:31:02,RS232 Connected,0,,G
03/04/2021 02:31:07,RS232 Disconnected,0,,G
03/04/2021 02:32:02,RS232 Connected,0,,G
03/04/2021 02:32:07,RS232 Disconnected,0,,G
03/04/2021 02:33:02,RS232 Connected,0,,G
03/04/2021 02:33:07,RS232 Disconnected,0,,G
03/04/2021 02:34:02,RS232 Connected,0,,G
03/04/2021 02:34:07,RS232 Disconnected,0,,G
03/04/2021 02:35:02,RS232 Connected,0,,G
03/04/2021 02:35:07,RS232 Disconnected,0,,G
03/04/2021 02:36:02,RS232 Connected,0,,G
03/04/2021 02:36:07,RS232 Disconnected,0,,G
03/04/2021 02:37:02,RS232 Connected,0,,G
03/04/2021 02:37:07,RS232 Disconnected,0,,G
03/04/2021 02:38:02,RS232 Connected,0,,G
03/04/2021 02:38:07,RS232 Disconnected,0,,G
03/04/2021 02:39:02,RS232 Connected,0,,G
03/04/2021 02:39:07,RS232 Disconnected,0,,G
03/04/2021 02:40:02,RS232 Connected,0,,G
03/04/2021 02:40:07,RS232 Disconnected,0,,G
03/04/2021 02:41:02,RS232 Connected,0,,G
03/04/2021 02:41:07,RS232 Disconnected,0,,G
03/04/2021 02:42:02,RS232 Connected,0,,G
03/04/2021 02:42:07,RS232 Disconnected,0,,G
03/04/2021 02:43:02,RS232 Connected,0,,G
03/04/2021 02:43:07,RS232 Disconnected,0,,G
03/04/2021 02:44:02,RS232 Connected,0,,G
03/04/2021 02:44:07,RS232 Disconnected,0,,G
03/04/2021 02:45:02,RS232 Connected,0,,G
03/04/2021 02:45:07,RS232 Disconnected,0,,G
03/04/2021 02:46:02,RS232 Connected,0,,G
03/04/2021 02:46:07,RS232 Disconnected,0,,G
03/04/2021 02:47:02,RS232 Connected,0,,G
03/04/2021 02:47:07,RS232 Disconnected,0,,G
03/04/2021 02:48:02,RS232 Connected,0,,G
03/04/2021 02:48:07,RS232 Disconnected,0,,G
03/04/2021 02:49:02,RS232 Connected,0,,G
03/04/2021 02:49:07,RS232 Disconnected,0,,G
03/04/2021 02:50:02,RS232 Connected,0,,G
03/04/2021 02:50:07,RS232 Disconnected,0,,G
03/04/2021 02:51:02,RS232 Connected,0,,G
03/04/2021 02:51:07,RS232 Disconnected,0,,G
03/04/2021 02:52:02,RS232 Connected,0,,G
03/04/2021 02:52:07,RS232 Disconnected,0,,G
03/04/2021 02:53:02,RS232 Connected,0,,G
03/04/2021 02:53:07,RS232 Disconnected,0,,G
03/04/2021 02:54:02,RS232 Connected,0,,G
03/04/2021 02:54:07,RS232 Disconnected,0,,G
03/04/2021 02:55:02,RS232 Connected,0,,G
03/04/2021 02:55:07,RS232 Disconnected,0,,G
03/04/2021 02:56:02,RS232 Connected,0,,G
03/04/2021 02:56:07,RS232 Disconnected,0,,G
03/04/2021 02:57:02,RS232 Connected,0,,G
03/04/2021 02:57:07,RS232 Disconnected,0,,G
03/04/2021 02:58:02,RS232 Connected,0,,G
03/04/2021 02:58:07,RS232 Disconnected,0,,G
03/04/2021 02:59:02,RS232 Connected,0,,G
03/04/2021 02:59:07,RS232 Disconnected,0,,G
03/04/2021 03:00:02,RS232 Connected,0,,G
03/04/2021 03:00:07,RS232 Disconnected,0,,G
03/04/2021 03:01:02,RS232 Connected,0,,G
03/04/2021 03:01:07,RS232 Disconnected,0,,G
03/04/2021 03:02:02,RS232 Connected,0,,G
03/04/2021 03:02:07,RS232 Disconnected,0,,G
03/04/2021 03:03:02,RS232 Connected,0,,G
03/04/2021 03:03:07,RS232 Disconnected,0,,G
03/04/2021 03:04:02,RS232 Connected,0,,G
03/04/2021 03:04:07,RS232 Disconnected,0,,G
03/04/2021 03:05:02,RS232 Connected,0,,G
03/04/2021 03:05:07,RS232 Disconnected,0,,G
03/04/2021 03:06:02,RS232 Connected,0,,G
03/04/2021 03:06:07,RS232 Disconnected,0,,G
03/04/2021 03:07:02,RS232 Connected,0,,G
03/04/2021 03:07:07,RS232 Disconnected,0,,G
03/04/2021 03:08:02,RS232 Connected,0,,G
03/04/2021 03:08:07,RS232 Disconnected,0,,G
03/04/2021 03:09:02,RS232 Connected,0,,G
03/04/2021 03:09:07,RS232 Disconnected,0,,G
03/04/2021 03:10:02,RS232 Connected,0,,G
03/04/2021 03:10:07,RS232 Disconnected,0,,G
03/04/2021 03:11:02,RS232 Connected,0,,G
03/04/2021 03:11:07,RS232 Disconnected,0,,G
03/04/2021 03:12:02,RS232 Connected,0,,G
03/04/2021 03:12:07,RS232 Disconnected,0,,G
03/04/2021 03:13:02,RS232 Connected,0,,G
03/04/2021 03:13:07,RS232 Disconnected,0,,G
03/04/2021 03:14:02,RS232 Connected,0,,G
03/04/2021 03:14:07,RS232 Disconnected,0,,G
03/04/2021 03:15:02,RS232 Connected,0,,G
03/04/2021 03:15:07,RS232 Disconnected,0,,G
03/04/2021 03:16:02,RS232 Connected,0,,G
03/04/2021 03:16:07,RS232 Disconnected,0,,G
03/04/2021 03:17:02,RS232 Connected,0,,G
03/04/2021 03:17:07,RS232 Disconnected,0,,G
03/04/2021 03:18:02,RS232 Connected,0,,G
03/04/2021 03:18:07,RS232 Disconnected,0,,G
03/04/2021 03:19:02,RS232 Connected,0,,G
03/04/2021 03:19:07,RS232 Disconnected,0,,G
03/04/2021 03:20:02,RS232 Connected,0,,G
03/04/2021 03:20:07,RS232 Disconnected,0,,G
03/04/2021 03:21:02,RS232 Connected,0,,G
03/04/2021 03:21:07,RS232 Disconnected,0,,G
03/04/2021 03:22:02,RS232 Connected,0,,G
03/04/2021 03:22:07,RS232 Disconnected,0,,G
03/04/2021 03:23:02,RS232 Connected,0,,G
03/04/2021 03:23:07,RS232 Disconnected,0,,G
03/04/2021 03:24:02,RS232 Connected,0,,G
03/04/2021 03:24:07,RS232 Disconnected,0,,G
03/04/2021 03:25:02,RS232 Connected,0,,G
03/04/2021 03:25:07,RS232 Disconnected,0,,G
03/04/2021 03:26:02,RS232 Connected,0,,G
03/04/2021 03:26:07,RS232 Disconnected,0,,G
03/04/2021 03:27:02,RS232 Connected,0,,G
03/04/2021 03:27:08,RS232 Disconnected,0,,G
03/04/2021 03:28:02,RS232 Connected,0,,G
03/04/2021 03:28:07,RS232 Disconnected,0,,G
03/04/2021 03:29:02,RS232 Connected,0,,G
03/04/2021 03:29:07,RS232 Disconnected,0,,G
03/04/2021 03:30:02,RS232 Connected,0,,G
03/04/2021 03:30:07,RS232 Disconnected,0,,G
03/04/2021 03:31:02,RS232 Connected,0,,G
03/04/2021 03:31:07,RS232 Disconnected,0,,G
03/04/2021 03:32:02,RS232 Connected,0,,G
03/04/2021 03:32:07,RS232 Disconnected,0,,G
03/04/2021 03:33:02,RS232 Connected,0,,G
03/04/2021 03:33:07,RS232 Disconnected,0,,G
03/04/2021 03:34:02,RS232 Connected,0,,G
03/04/2021 03:34:07,RS232 Disconnected,0,,G
03/04/2021 03:35:02,RS232 Connected,0,,G
03/04/2021 03:35:07,RS232 Disconnected,0,,G
03/04/2021 03:36:02,RS232 Connected,0,,G
03/04/2021 03:36:07,RS232 Disconnected,0,,G
03/04/2021 03:37:02,RS232 Connected,0,,G
03/04/2021 03:37:07,RS232 Disconnected,0,,G
03/04/2021 03:38:02,RS232 Connected,0,,G
03/04/2021 03:38:07,RS232 Disconnected,0,,G
03/04/2021 03:39:02,RS232 Connected,0,,G
03/04/2021 03:39:07,RS232 Disconnected,0,,G
03/04/2021 03:40:02,RS232 Connected,0,,G
03/04/2021 03:40:07,RS232 Disconnected,0,,G
03/04/2021 03:41:02,RS232 Connected,0,,G
03/04/2021 03:41:07,RS232 Disconnected,0,,G
03/04/2021 03:42:02,RS232 Connected,0,,G
03/04/2021 03:42:07,RS232 Disconnected,0,,G
03/04/2021 03:43:02,RS232 Connected,0,,G
03/04/2021 03:43:07,RS232 Disconnected,0,,G
03/04/2021 03:44:02,RS232 Connected,0,,G
03/04/2021 03:44:07,RS232 Disconnected,0,,G
03/04/2021 03:45:02,RS232 Connected,0,,G
03/04/2021 03:45:07,RS232 Disconnected,0,,G
03/04/2021 03:46:02,RS232 Connected,0,,G
03/04/2021 03:46:07,RS232 Disconnected,0,,G
03/04/2021 03:47:02,RS232 Connected,0,,G
03/04/2021 03:47:07,RS232 Disconnected,0,,G
03/04/2021 03:48:02,RS232 Connected,0,,G
03/04/2021 03:48:08,RS232 Disconnected,0,,G
03/04/2021 03:49:02,RS232 Connected,0,,G
03/04/2021 03:49:07,RS232 Disconnected,0,,G
03/04/2021 03:50:02,RS232 Connected,0,,G
03/04/2021 03:50:07,RS232 Disconnected,0,,G
03/04/2021 03:51:02,RS232 Connected,0,,G
03/04/2021 03:51:07,RS232 Disconnected,0,,G
03/04/2021 03:52:02,RS232 Connected,0,,G
03/04/2021 03:52:07,RS232 Disconnected,0,,G
03/04/2021 03:53:02,RS232 Connected,0,,G
03/04/2021 03:53:07,RS232 Disconnected,0,,G
03/04/2021 03:54:02,RS232 Connected,0,,G
03/04/2021 03:54:07,RS232 Disconnected,0,,G
03/04/2021 03:55:02,RS232 Connected,0,,G
03/04/2021 03:55:07,RS232 Disconnected,0,,G
03/04/2021 03:56:02,RS232 Connected,0,,G
03/04/2021 03:56:07,RS232 Disconnected,0,,G
03/04/2021 03:57:02,RS232 Connected,0,,G
03/04/2021 03:57:07,RS232 Disconnected,0,,G
03/04/2021 03:58:02,RS232 Connected,0,,G
03/04/2021 03:58:08,RS232 Disconnected,0,,G
03/04/2021 03:59:02,RS232 Connected,0,,G
03/04/2021 03:59:07,RS232 Disconnected,0,,G
03/04/2021 04:00:02,RS232 Connected,0,,G
03/04/2021 04:00:08,RS232 Disconnected,0,,G
03/04/2021 04:01:02,RS232 Connected,0,,G
03/04/2021 04:01:07,RS232 Disconnected,0,,G
03/04/2021 04:02:02,RS232 Connected,0,,G
03/04/2021 04:02:07,RS232 Disconnected,0,,G
03/04/2021 04:03:02,RS232 Connected,0,,G
03/04/2021 04:03:07,RS232 Disconnected,0,,G
03/04/2021 04:04:02,RS232 Connected,0,,G
03/04/2021 04:04:07,RS232 Disconnected,0,,G
03/04/2021 04:05:02,RS232 Connected,0,,G
03/04/2021 04:05:07,RS232 Disconnected,0,,G
03/04/2021 04:06:02,RS232 Connected,0,,G
03/04/2021 04:06:07,RS232 Disconnected,0,,G
03/04/2021 04:07:02,RS232 Connected,0,,G
03/04/2021 04:07:07,RS232 Disconnected,0,,G
03/04/2021 04:08:02,RS232 Connected,0,,G
03/04/2021 04:08:07,RS232 Disconnected,0,,G
03/04/2021 04:09:02,RS232 Connected,0,,G
03/04/2021 04:09:07,RS232 Disconnected,0,,G
03/04/2021 04:10:02,RS232 Connected,0,,G
03/04/2021 04:10:07,RS232 Disconnected,0,,G
03/04/2021 04:11:02,RS232 Connected,0,,G
03/04/2021 04:11:07,RS232 Disconnected,0,,G
03/04/2021 04:12:02,RS232 Connected,0,,G
03/04/2021 04:12:07,RS232 Disconnected,0,,G
03/04/2021 04:13:02,RS232 Connected,0,,G
03/04/2021 04:13:07,RS232 Disconnected,0,,G
03/04/2021 04:14:02,RS232 Connected,0,,G
03/04/2021 04:14:08,RS232 Disconnected,0,,G
03/04/2021 04:15:02,RS232 Connected,0,,G
03/04/2021 04:15:07,RS232 Disconnected,0,,G
03/04/2021 04:16:02,RS232 Connected,0,,G
03/04/2021 04:16:07,RS232 Disconnected,0,,G
03/04/2021 04:17:02,RS232 Connected,0,,G
03/04/2021 04:17:07,RS232 Disconnected,0,,G
03/04/2021 04:18:02,RS232 Connected,0,,G
03/04/2021 04:18:07,RS232 Disconnected,0,,G
03/04/2021 04:19:02,RS232 Connected,0,,G
03/04/2021 04:19:07,RS232 Disconnected,0,,G
03/04/2021 04:20:02,RS232 Connected,0,,G
03/04/2021 04:20:07,RS232 Disconnected,0,,G
03/04/2021 04:21:02,RS232 Connected,0,,G
03/04/2021 04:21:07,RS232 Disconnected,0,,G
03/04/2021 04:22:02,RS232 Connected,0,,G
03/04/2021 04:22:07,RS232 Disconnected,0,,G
03/04/2021 04:23:02,RS232 Connected,0,,G
03/04/2021 04:23:07,RS232 Disconnected,0,,G
03/04/2021 04:24:02,RS232 Connected,0,,G
03/04/2021 04:24:07,RS232 Disconnected,0,,G
03/04/2021 04:25:02,RS232 Connected,0,,G
03/04/2021 04:25:07,RS232 Disconnected,0,,G
03/04/2021 04:26:02,RS232 Connected,0,,G
03/04/2021 04:26:07,RS232 Disconnected,0,,G
